warehouse_id,name,processing_rate_per_hour,capacity_horizon,cap_day
EW_1,Stockholm Hub,96.2,32323.200000000004,4617.6
EW_2,Eskilstuna FC,91.5,30744.0,4392.0
NW_1,Barkarby Hub,95.8,32188.799999999996,4598.4
NW_2,Tumba Depot,94.3,31684.799999999996,4526.4
NW_3,Sollentuna FC,96.5,32424.0,4632.0
NW_4,Haninge Hub,92.1,30945.599999999995,4420.799999999999
NW_5,Upplands Väsby,95.0,31920.0,4560.0
NW_6,Tyresö Depot,91.2,30643.200000000004,4377.6
NW_7,Vallentuna FC,96.0,32256.0,4608.0
NW_8,Nynäshamn Hub,90.5,30408.0,4344.0
NW_9,Ekerö Depot,93.7,31483.200000000004,4497.6
NW_10,Värmdö FC,95.6,32121.599999999995,4588.799999999999
