warehouse_id,name,processing_rate_per_hour,capacity_horizon,cap_day
EW_1,Stockholm Hub,96.2,16161.600000000002,2308.8
EW_2,Eskilstuna FC,91.5,15372.0,2196.0
NW_1,Barkarby Hub,95.8,16094.399999999998,2299.2
NW_2,Tumba Depot,94.3,15842.399999999998,2263.2
NW_3,Sollentuna FC,96.5,16212.0,2316.0
NW_4,Haninge Hub,92.1,15472.799999999997,2210.3999999999996
NW_5,Upplands Väsby,95.0,15960.0,2280.0
NW_6,Tyresö Depot,91.2,15321.600000000002,2188.8
NW_7,Vallentuna FC,96.0,16128.0,2304.0
NW_8,Nynäshamn Hub,90.5,15204.0,2172.0
NW_9,Ekerö Depot,93.7,15741.600000000002,2248.8
NW_10,Värmdö FC,95.6,16060.799999999997,2294.3999999999996
