warehouse_id,name,processing_rate_per_hour,capacity_horizon,cap_day
EW_1,Stockholm Hub,96.2,64646.40000000001,9235.2
EW_2,Eskilstuna FC,91.5,61488.0,8784.0
NW_1,Barkarby Hub,95.8,64377.59999999999,9196.8
NW_2,Tumba Depot,94.3,63369.59999999999,9052.8
NW_3,Sollentuna FC,96.5,64848.0,9264.0
NW_4,Haninge Hub,92.1,61891.19999999999,8841.599999999999
NW_5,Upplands Väsby,95.0,63840.0,9120.0
NW_6,Tyresö Depot,91.2,61286.40000000001,8755.2
NW_7,Vallentuna FC,96.0,64512.0,9216.0
NW_8,Nynäshamn Hub,90.5,60816.0,8688.0
NW_9,Ekerö Depot,93.7,62966.40000000001,8995.2
NW_10,Värmdö FC,95.6,64243.19999999999,9177.599999999999
